Long Beach	62123	990
Pasadena	12891	356	
Unincorporated - El Monte	24	16552	0	0
Unincorporated - Elizabeth Lake	98	5900	1	60
Unincorporated - Florence-Firestone	14788	22854	225	348
Unincorporated - Franklin Canyon	1	8333	0	0
Unincorporated - Glendora	82	12424	3	455
Unincorporated - Hacienda Heights	5869	10494	101	181
Unincorporated - Harbor Gateway	0	0	0	0
Unincorporated - Hawthorne	345	13723	3	119
Unincorporated - Hi Vista	52	4736	0	0
Unincorporated - Kagel/Lopez Canyons	301	21317	2	142
Unincorporated - La Crescenta-Montrose	1365	6894	17	86
Unincorporated - La Habra Heights	16	2367	1	148
Unincorporated - La Rambla	305	14699	21	1012
Unincorporated - La Verne*	190	9314	1	49
Unincorporated - Ladera Heights	541	7651	14	198
Unincorporated - Lake Hughes	49	7335	0	0
Unincorporated - Lake Los Angeles	1827	14060	19	146
Unincorporated - Lake Manor	173	10530	2	122
Unincorporated - Lakewood	0	0	0	0
Unincorporated - Lennox	3865	17146	54	240
Unincorporated - Leona Valley	139	7938	3	171
Unincorporated - Littlerock	609	15145	6	149
Unincorporated - Littlerock/Juniper Hills	140	10794	2	154
Unincorporated - Littlerock/Pearblossom	596	16699	11	308
Unincorporated - Llano	54	6157	2	228
Unincorporated - Marina del Rey	632	6716	4	43
Unincorporated - Miracle Mile	0	0	0	0
Unincorporated - Monrovia	433	11157	0	0
Unincorporated - Newhall	70	31818	1	455
Unincorporated - North Lancaster	181	15109	3	250
Unincorporated - North Whittier	1240	14833	29	347
Unincorporated - Northeast San Gabriel	1828	7605	42	175
Unincorporated - Padua Hills	12	5581	0	0
Unincorporated - Palmdale	118	14014	4	475
Unincorporated - Palos Verdes Peninsula	30	4831	0	0
Unincorporated - Pearblossom/Llano	165	8436	2	102
Unincorporated - Pellissier Village	188	30372	1	162
Unincorporated - Placerita Canyon	4	870	0	0
Unincorporated - Pomona	70	3612	2	103
Unincorporated - Quartz Hill	1486	11514	24	186
Unincorporated - Rancho Dominguez	464	17437	5	188
Unincorporated - Roosevelt	103	11063	0	0
Unincorporated - Rosewood	195	15163	5	389
Unincorporated - Rosewood/East Gardena	189	15842	6	503
Unincorporated - Rosewood/West Rancho Dominguez	586	17435	15	446
Unincorporated - Rowland Heights	4066	7969	80	157
Unincorporated - San Clemente Island	0	0	0	0
Unincorporated - San Francisquito Canyon/Bouquet Canyon	16	1865	0	0
Unincorporated - San Jose Hills	3785	18718	74	366
Unincorporated - San Pasqual	42	2064	0	0
Unincorporated - Sand Canyon	21	6818	0	0
Unincorporated - Santa Catalina Island	216	80899	2	749
Unincorporated - Santa Monica Mountains*	951	5107	17	91
Unincorporated - Saugus	158	101935	0	0
Unincorporated - Saugus/Canyon Country	46	12921	1	281
Unincorporated - South Antelope Valley	40	8791	0	0
Unincorporated - South El Monte	378	21058	6	334
Unincorporated - South San Gabriel	1019	11517	47	531
Unincorporated - South Whittier	9402	15876	159	268
Unincorporated - Southeast Antelope Valley	102	13060	0	0
Unincorporated - Stevenson Ranch	1561	7445	7	33
Unincorporated - Sun Village	1025	16981	14	232
Unincorporated - Sunrise Village	206	15895	1	77
Unincorporated - Twin Lakes/Oat Mountain	129	7780	4	241
Unincorporated - Val Verde	409	12360	2	60
Unincorporated - Valencia	254	8268	1	33
Unincorporated - Valinda	4174	17860	75	321
Unincorporated - View Park/Windsor Hills	942	8096	15	129
Unincorporated - Walnut Park	3312	20517	56	347
Unincorporated - West Antelope Valley	60	3971	1	66
Unincorporated - West Carson	2644	11971	142	643
Unincorporated - West Chatsworth	4	33333	0	0
Unincorporated - West LA	214	22479	17	1786
Unincorporated - West Puente Valley	1883	19146	25	254
Unincorporated - West Rancho Dominguez	225	16556	5	368
Unincorporated - West Whittier/Los Nietos	4729	17564	90	334
Unincorporated - Westfield/Academy Hills	56	4308	0	0
Unincorporated - Westhills	62	7390	0	0
Unincorporated - White Fence Farms	344	9340	2	54
Unincorporated - Whittier	358	9461	9	238
Unincorporated - Whittier Narrows	54	450000	1	8333
Unincorporated - Willowbrook	7525	21554	96	275
Unincorporated - Wiseburn	623	10337	12	199
- Under Investigation	16431		59
