,City/Community,Latitude,Longitude,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
189,Los Angeles - Sunland,34.254694,-118.328636,2314,11339,11476,57,279,199,20408
190,Los Angeles - Sycamore Square,34.05804,-118.34373,29,4482,5830,2,309,675,647
191,Los Angeles - Sylmar,34.312919,-118.447215,16252,19724,19446,242,294,348,82398
192,Los Angeles - Tarzana,34.157081,-118.549144,3374,10928,10983,79,256,166,30876
193,Los Angeles - Temple-Beaudry,34.063548,-118.264778,5113,12950,12607,110,279,313,39482
194,Los Angeles - Thai Town,34.102022,-118.304348,907,9247,9284,20,204,153,9809
195,Los Angeles - Toluca Lake,34.150204,-118.357406,516,5928,7026,4,46,39,8704
196,Los Angeles - Toluca Terrace,34.166749,-118.358506,146,11179,14034,7,536,984,1306
197,Los Angeles - Toluca Woods,34.159363,-118.35782,111,5974,6546,0,0,0,1858
198,Los Angeles - Tujunga,34.251243,-118.288445,2979,10712,10491,67,241,197,27810
199,Los Angeles - University Hills,34.06828,-118.168416,272,7932,8177,1,29,19,3429
200,Los Angeles - University Park,34.027987,-118.27881,3595,13094,14640,58,211,416,27456
201,Los Angeles - Valley Glen,34.182068,-118.426211,3892,12966,12762,70,233,221,30016
202,Los Angeles - Valley Village,34.163337,-118.39502,2089,8451,8755,80,324,268,24720
203,Los Angeles - Van Nuys,34.201395,-118.462997,14742,15819,15732,335,359,449,93194
204,Los Angeles - Venice,33.994031,-118.462553,1751,5167,6338,13,38,38,33885
205,Los Angeles - Vermont Knolls,33.968094,-118.294918,2874,16709,16629,56,326,362,17200
206,Los Angeles - Vermont Square,33.999441,-118.298048,1484,19381,19252,23,300,348,7657
207,Los Angeles - Vermont Vista,33.954252,-118.281528,7609,18475,18841,104,253,384,41186
208,Los Angeles - Vernon Central,34.000393,-118.251655,11143,21430,21917,163,313,527,51998
209,Los Angeles - Victoria Park,34.044033,-118.324726,1057,12585,12326,11,131,106,8399
210,Los Angeles - View Heights,33.985086,-118.348321,228,6172,6122,7,189,149,3694
211,Los Angeles - Watts,33.940599,-118.241781,7581,17765,18665,101,237,431,42674
212,Los Angeles - Wellington Square,34.035885,-118.333668,587,11943,11867,9,183,194,4915
213,Los Angeles - West Adams,34.036169,-118.307919,4035,14604,14396,150,543,518,27630
214,Los Angeles - West Hills,34.211319,-118.635548,3083,7604,7963,115,284,185,40545
215,Los Angeles - West Los Angeles,34.040358,-118.450027,2464,6547,6884,53,141,151,37636
216,Los Angeles - West Vernon,33.999278,-118.309388,10211,19035,18944,190,354,441,53644
217,Los Angeles - Westchester,33.952314,-118.406497,2576,4992,4834,49,95,88,51603
218,Los Angeles - Westlake,34.057106,-118.272349,7804,13148,13234,314,529,638,59355
219,Los Angeles - Westwood,34.06604,-118.43853,2849,5265,4273,26,48,42,54109
220,Los Angeles - Wholesale District,34.041536,-118.23326,6425,17783,16437,108,299,336,36129
221,Los Angeles - Wilmington,33.785903,-118.253219,8507,15060,15008,90,159,199,56487
222,Los Angeles - Wilshire Center,34.061749,-118.289292,5655,11272,11127,132,263,271,50170
223,Los Angeles - Winnetka,34.212542,-118.575815,6851,13229,12979,81,156,164,51786
224,Los Angeles - Woodland Hills,34.167672,-118.60534,5171,7598,7770,88,129,85,68055
225,Unincorporated - Acton,34.482033,-118.208203,495,6210,6847,6,75,52,7971
226,Unincorporated - Agua Dulce,34.49836,-118.330912,289,6950,8734,3,72,56,4158
227,Unincorporated - Altadena,34.193547,-118.136022,3357,7696,7931,76,174,132,43620
228,Unincorporated - Anaverde,34.536921,-118.13245,150,9947,10369,0,0,0,1508
229,Unincorporated - Angeles National Forest,34.320443,-118.002386,33,2651,3525,1,80,127,1245
230,Unincorporated - Arcadia,34.108393,-118.014081,612,7668,7819,15,188,148,7981
231,Unincorporated - Athens Village,33.93413,-118.302612,1075,21952,22055,30,613,693,4897
232,Unincorporated - Athens-Westmont,33.919744,-118.273945,6418,15122,15219,104,245,269,42442
233,Unincorporated - Avocado Heights,34.038608,-117.989237,1091,16103,15862,13,192,187,6775
234,Unincorporated - Azusa,34.113002,-117.896106,2380,14947,14635,38,239,284,15923
235,Unincorporated - Bassett,34.058473,-117.978678,2641,17824,17572,47,317,298,14817
236,Unincorporated - Bouquet Canyon,34.591679,-118.360703,49,4567,5404,1,93,82,1073
237,Unincorporated - Bradbury,34.144843,-117.967795,52,48148,3146,24,22222,934,108
238,Unincorporated - Canyon Country,34.463007,-118.437618,855,11064,11562,4,52,60,7728
239,Unincorporated - Castaic,34.609083,-118.626573,3758,13821,13277,17,63,108,27191
240,Unincorporated - Cerritos,33.879413,-118.093527,72,12266,12007,1,170,171,587
241,Unincorporated - Claremont,34.160321,-117.704441,41,5840,7049,4,570,429,702
242,Unincorporated - Covina,34.068396,-117.852435,2350,13972,13652,43,256,227,16819
243,Unincorporated - Covina (Charter Oak),34.104717,-117.861669,1540,11716,11442,18,137,143,13144
244,Unincorporated - Del Aire,33.922302,-118.372261,316,7193,7139,3,68,63,4393
245,Unincorporated - Del Rey,33.98265,-118.412366,32,10063,11610,1,314,67,318
246,Unincorporated - Del Sur,34.757167,-118.282651,171,7081,7723,3,124,83,2415
247,Unincorporated - Desert View Highlands,34.589308,-118.153561,366,14681,14798,5,201,174,2493
248,Unincorporated - Duarte,34.124147,-117.993223,856,19332,19160,10,226,279,4428
249,Unincorporated - East Covina,34.088015,-117.835411,34,10334,16386,1,304,91,329
250,Unincorporated - East La Mirada,33.921757,-117.983975,507,9580,9658,7,132,119,5292
251,Unincorporated - East Lancaster,34.666755,-118.000512,17,14912,15093,0,0,0,114
252,Unincorporated - East Los Angeles,34.03227,-118.169557,25050,19997,19955,433,346,412,125269
253,Unincorporated - East Pasadena,34.137943,-118.076517,222,3467,3354,10,156,110,6403
254,Unincorporated - East Rancho Dominguez,33.893982,-118.194375,2800,18291,18538,52,340,468,15308
255,Unincorporated - East Whittier,33.927628,-117.994355,477,8990,8776,8,151,127,5306
256,Unincorporated - El Camino Village,33.887095,-118.335495,843,9589,9679,15,171,162,8791
257,Unincorporated - El Monte,34.063283,-118.060455,24,16552,19997,0,0,0,145
258,Unincorporated - Elizabeth Lake,34.659254,-118.377441,82,4937,5313,1,60,54,1661
259,Unincorporated - Florence-Firestone,33.967507,-118.242435,13685,21150,21398,218,337,477,64705
