County,Latitude,Longitude,Population,Cumulative Deaths,Cumulative Death Rate,Daily New Deaths,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21
Nevada,39.30394768,-120.76272809999999,99755,50,50.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,15,16,16,16,17,19,19,21,21,21,21,30,32,34,38,39,39,39,42,42,44,44,44,44,44,49,50,50,50,50,50,50,50
Orange,33.70147516,-117.76459979999998,3175692,1926,60.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,7,10,13,13,14,14,14,15,17,17,17,18,19,19,19,22,25,28,32,32,33,33,34,36,36,38,39,39,42,44,45,50,52,52,57,69,65,66,71,74,76,76,77,80,80,84,86,88,88,88,98,112,118,130,131,133,131,136,142,145,146,147,147,150,158,165,174,176,177,177,185,198,202,210,217,221,221,233,243,250,257,267,269,269,273,299,306,323,323,326,330,340,345,354,360,363,366,366,369,376,402,412,421,423,424,433,455,466,469,494,494,494,513,521,543,556,562,564,566,581,587,604,618,649,651,651,653,665,697,704,720,726,726,724,745,769,789,809,810,810,815,833,856,882,896,897,897,912,918,947,956,975,979,980,988,1007,1018,1042,1051,1053,1053,1056,1065,1069,1081,1093,1093,1093,1105,1111,1115,1123,1127,1128,1128,1150,1176,1182,1204,1214,1216,1216,1249,1268,1268,1281,1286,1286,1287,1289,1292,1306,1316,1340,1341,1341,1341,1360,1391,1401,1409,1409,1410,1412,1423,1434,1440,1444,1447,1447,1454,1467,1468,1475,1483,1484,1484,1484,1491,1494,1503,1506,1509,1509,1512,1514,1520,1522,1524,1526,1526,1526,1528,1537,1540,1551,1554,1554,1556,1559,1559,1577,1577,1577,1577,1577,1578,1586,1603,1618,1633,1633,1633,1633,1640,1662,1680,1694,1694,1695,1718,1731,1734,1760,1775,1777,1779,1781,1782,1782,1845,1846,1846,1847,1874,1875,1875,1901,1901,1926,1926
Placer,39.06167234,-120.72405690000001,398329,132,33.14,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14,14,15,15,15,15,15,15,16,16,18,19,20,20,20,20,22,24,24,27,27,28,28,28,28,30,30,30,31,31,31,32,32,32,32,32,32,33,33,34,34,35,35,36,36,36,36,38,38,39,39,39,39,40,41,41,41,41,41,42,43,44,44,45,45,45,45,48,48,49,49,49,49,51,51,51,51,51,51,51,51,51,52,52,52,52,52,55,55,57,57,57,57,57,57,57,59,59,59,59,59,60,60,60,60,60,60,60,60,60,62,63,63,63,64,64,65,66,67,67,67,67,68,68,68,68,68,68,70,71,71,72,74,74,74,81,81,85,89,92,92,92,93,94,97,98,103,103,103,104,109,110,120,120,120,120,125,125,125,125,125,125,125,132,132
Plumas,40.00355989,-120.8395236,18807,4,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4
Riverside,33.74314981,-115.9933578,2470546,2098,84.92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,6,6,6,7,8,8,8,8,9,13,13,14,14,15,19,25,28,32,33,39,41,41,41,50,50,54,69,69,75,85,85,93,100,112,112,118,141,141,143,149,156,156,161,181,184,186,192,192,204,204,217,225,225,235,242,242,242,261,270,270,284,290,290,290,292,303,303,313,323,323,323,331,342,342,345,355,355,355,356,365,372,377,383,383,383,384,395,399,408,410,410,410,424,431,432,435,438,438,438,440,457,463,465,479,479,479,486,506,515,533,537,537,537,550,553,577,585,587,587,587,588,589,617,637,637,637,637,637,671,682,688,695,695,695,695,738,738,770,799,799,799,820,820,824,853,881,881,881,881,912,917,922,927,927,927,972,978,984,997,1007,1007,1007,1019,1026,1033,1053,1067,1067,1067,1067,1075,1085,1094,1103,1103,1103,1118,1125,1136,1143,1153,1153,1153,1162,1172,1173,1179,1189,1189,1189,1206,1216,1226,1226,1231,1231,1231,1238,1244,1247,1248,1256,1256,1256,1256,1258,1264,1269,1269,1269,1269,1272,1273,1275,1279,1279,1279,1279,1295,1303,1305,1306,1319,1319,1319,1322,1324,1329,1331,1333,1333,1333,1338,1352,1352,1355,1367,1367,1367,1374,1374,1383,1396,1400,1400,1400,1413,1417,1434,1434,1437,1437,1437,1437,1443,1444,1457,1472,1472,1472,1488,1513,1539,1551,1573,1573,1573,1586,1628,1666,1708,1744,1744,1744,1753,1789,1805,1805,1829,1829,1829,1870,1943,1951,1985,1985,1985,1985,2096,2098
Sacramento,38.45106826,-121.34253740000001,1552058,898,57.86,41,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,2,3,3,3,3,4,4,5,5,6,6,6,7,7,7,9,10,10,16,18,21,22,33,24,24,26,27,28,32,32,32,33,34,34,35,36,41,41,41,41,41,41,42,43,42,42,42,47,47,47,49,50,50,50,50,50,51,54,54,54,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,58,58,58,58,59,59,59,61,61,62,63,63,63,63,63,63,67,67,67,67,67,66,66,66,66,66,66,66,68,68,68,69,69,69,69,69,76,78,78,79,81,83,83,91,92,94,95,96,96,96,96,96,98,103,103,108,114,121,126,127,133,133,142,145,148,148,155,155,161,161,177,179,179,194,199,199,199,218,219,230,230,234,234,234,246,252,259,265,274,274,274,293,293,304,317,327,327,327,327,334,339,346,346,350,350,356,358,364,371,375,375,375,383,383,393,399,402,406,406,406,412,416,420,426,430,430,430,432,437,445,447,450,450,450,458,458,462,464,468,468,468,471,474,480,482,484,484,484,491,496,499,500,500,500,500,502,504,506,506,508,508,508,513,514,514,517,520,520,520,527,533,536,544,546,546,546,550,557,566,566,566,576,576,581,586,591,603,614,614,614,620,635,646,659,670,670,670,689,699,711,727,741,741,741,774,786,797,809,809,809,809,827,833,844,857,857,857,857,898
San Benito,36.60308176,-121.069975,62808,34,54.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,18,18,18,19,19,19,19,19,19,19,21,22,22,23,23,23,23,23,24,26,26,26,26,26,28,28,28,29,29,29,29,34,34
San Bernardino,34.84060306,-116.1774685,2180085,1450,66.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,6,6,8,13,13,13,16,17,20,24,25,25,31,31,31,39,47,57,57,60,67,67,77,80,80,82,82,85,89,93,94,97,97,97,101,104,108,111,114,114,115,120,138,139,150,155,155,155,157,158,164,173,176,176,176,176,176,190,199,204,204,204,208,209,209,217,224,224,224,224,225,227,229,229,229,228,228,229,230,230,233,233,234,234,245,248,248,248,249,249,253,258,265,269,269,269,269,272,293,304,304,304,306,307,309,310,310,315,328,328,329,333,337,358,372,372,383,383,395,419,419,409,417,417,418,477,487,490,497,502,546,546,546,555,555,561,568,568,568,616,621,625,629,691,691,692,695,709,715,716,716,716,716,736,743,744,744,765,765,765,765,791,796,800,814,832,832,835,838,839,858,908,908,908,908,908,918,922,925,925,925,952,955,955,962,962,962,962,966,967,974,984,986,986,986,986,986,988,989,998,1021,1021,1028,1065,1070,1070,1072,1072,1072,1073,1073,1073,1074,1078,1078,1079,1079,1088,1092,1092,1093,1096,1096,1096,1096,1096,1097,1097,1097,1098,1098,1118,1124,1125,1127,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1136,1154,1154,1175,1175,1188,1207,1208,1209,1209,1215,1223,1241,1241,1304,1304,1323,1327,1327,1375,1387,1407,1420,1420,1429,1437,1437,1438,1442,1445,1445,1445,1447,1449,1450
San Diego,33.03484597,-116.73653259999999,3338330,1654,49.55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,6,7,7,7,9,15,16,17,18,19,19,31,36,40,44,45,45,47,53,60,63,70,71,71,72,96,100,102,111,111,111,113,120,120,124,134,139,139,144,158,158,165,169,175,175,190,190,200,200,209,209,209,222,230,230,241,249,249,249,249,249,260,260,269,269,269,269,276,283,288,296,296,296,296,305,308,308,319,319,320,323,323,331,332,338,338,338,341,347,352,358,360,361,361,365,370,377,387,387,387,387,399,406,415,420,422,422,422,436,448,465,465,478,478,478,487,505,512,524,524,533,533,533,552,558,561,561,565,565,568,568,583,583,586,593,594,594,602,608,622,622,626,626,626,638,644,652,660,660,660,665,668,673,676,679,682,682,688,695,700,701,704,707,707,708,721,725,730,734,734,734,742,748,754,757,796,760,760,765,767,773,775,775,776,776,781,783,792,794,798,803,803,806,813,819,821,825,826,826,840,844,847,865,869,853,853,857,863,866,867,868,870,870,877,881,885,888,891,891,891,901,904,904,907,908,908,938,915,915,918,921,926,926,926,933,945,952,960,966,968,968,984,988,988,996,997,997,997,1019,1035,1040,1047,1055,1062,1062,1062,1103,1114,1114,1137,1162,1162,1194,1217,1239,1253,1280,1280,1283,1311,1350,1382,1382,1402,1402,1404,1435,1472,1534,1534,1592,1592,1598,1654
San Francisco,37.75215114,-122.43856720000001,881549,198,22.46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,6,6,7,7,7,8,8,9,9,10,10,13,13,14,15,15,17,17,20,20,20,20,20,21,21,22,22,22,23,23,23,25,28,29,29,29,31,31,32,33,33,34,35,35,35,35,36,36,36,36,36,37,37,40,40,40,40,40,40,40,41,41,42,43,43,43,43,43,43,43,43,44,44,44,44,44,45,46,46,47,47,47,47,47,48,48,48,48,48,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,52,52,52,52,53,53,55,56,56,56,56,56,57,58,59,61,61,61,61,62,63,64,67,67,67,67,67,67,69,69,69,69,70,72,72,72,74,77,77,77,80,82,83,83,83,83,83,84,84,84,86,86,86,86,87,88,89,90,91,91,91,91,91,96,97,99,99,99,99,99,99,101,101,101,101,104,106,107,107,108,108,111,114,115,121,123,123,123,123,123,126,131,133,133,133,133,137,138,140,140,140,140,140,145,145,147,148,148,148,149,149,149,151,151,151,151,151,153,153,153,155,156,156,156,156,156,156,158,158,158,158,160,160,160,160,160,160,160,160,161,162,164,164,164,164,164,165,167,167,167,167,167,172,172,173,176,176,176,176,178,178,181,181,182,182,182,184,186,189,194,194,194,198
San Joaquin,37.93433732,-121.2730061,762148,667,87.52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,4,4,6,6,8,9,9,11,11,11,13,13,14,14,14,15,16,17,17,17,17,17,17,17,18,20,22,24,24,25,25,25,25,25,25,25,25,26,26,27,28,28,28,29,29,30,31,31,31,31,32,32,33,33,33,33,33,33,33,33,33,35,34,34,34,34,35,35,36,36,37,37,37,39,40,42,42,42,42,42,47,46,47,48,48,48,48,48,49,49,52,52,52,52,52,54,55,55,55,55,55,58,61,67,68,68,68,70,73,73,81,83,83,83,94,95,98,107,110,110,110,118,133,146,151,168,168,168,180,180,187,192,192,211,211,223,235,235,245,261,261,261,269,280,287,288,295,295,295,297,297,297,305,307,307,307,328,330,344,361,368,368,368,368,377,382,383,383,383,383,389,392,399,407,414,414,414,415,421,434,437,441,441,441,441,447,456,466,470,470,470,471,472,473,473,473,473,473,473,473,477,483,483,484,484,484,484,484,488,488,489,489,489,489,490,492,492,494,494,494,494,494,494,494,494,494,494,497,500,500,500,501,501,501,501,504,505,504,503,503,503,504,504,502,502,502,502,502,509,510,519,522,522,522,522,530,530,532,535,534,534,534,535,537,549,556,561,561,561,588,592,603,618,618,618,618,625,628,628,651,651,651,651,667
San Luis Obispo,35.38822029,-120.4039028,283111,88,31.08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,8,8,8,8,9,9,12,14,15,15,15,16,16,16,16,16,15,15,16,17,17,18,18,18,18,19,19,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,26,26,27,27,27,27,27,27,27,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,35,35,35,35,35,35,35,35,36,36,36,38,38,38,38,42,42,42,42,42,45,45,46,46,46,46,52,54,56,59,59,59,60,65,66,67,67,67,67,70,74,82,82,82,82,82,88
San Mateo,37.422880799999994,-122.32755459999998,766573,234,30.53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,6,6,6,6,10,10,10,13,13,13,13,21,21,21,21,21,21,21,21,21,28,28,28,28,28,28,39,39,41,41,41,41,48,48,48,51,51,51,51,56,56,56,56,56,56,56,65,65,65,66,66,66,66,75,75,75,76,76,76,76,82,82,82,84,84,84,84,84,84,84,88,88,88,88,93,93,93,99,99,99,99,99,99,99,103,103,103,103,104,104,104,106,106,106,106,108,108,108,108,108,108,108,111,111,111,112,112,112,112,114,114,114,114,114,114,114,114,114,114,117,117,117,117,118,118,118,119,119,119,119,120,120,120,120,120,120,120,122,122,122,126,126,126,126,127,127,127,128,128,128,128,130,130,130,131,131,131,131,132,132,132,135,135,135,135,136,136,136,139,139,139,139,142,142,142,142,143,143,143,144,144,144,150,150,150,150,150,150,150,152,152,152,152,154,154,154,155,155,155,155,155,155,155,157,157,157,157,157,157,157,159,159,159,159,159,159,159,161,161,161,161,161,161,161,162,162,162,162,165,165,165,168,168,168,168,168,168,168,169,169,169,169,170,170,170,170,170,170,170,170,170,170,176,176,176,176,177,177,177,179,179,179,179,183,183,183,198,198,198,198,203,203,212,212,212,212,212,217,217,227,227,227,227,227,234
Santa Barbara,34.65329488,-120.0188492,446499,166,37.18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,6,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,14,14,14,15,15,15,15,16,16,16,18,18,18,22,22,22,22,22,22,27,27,27,28,28,28,28,29,29,29,29,29,29,29,29,30,30,29,29,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,60,60,60,60,63,64,68,68,69,69,69,72,73,73,77,77,77,77,80,82,82,84,87,87,87,88,89,90,91,92,92,93,93,95,97,97,97,97,97,97,97,99,103,105,105,105,106,107,109,109,110,110,110,110,111,113,113,113,113,113,113,113,114,115,115,115,115,115,115,115,115,116,116,116,116,116,117,118,119,119,119,119,119,119,120,120,120,120,122,126,126,126,128,128,128,129,129,130,130,131,131,131,131,131,131,131,131,131,131,133,133,133,133,133,133,133,133,135,135,135,135,135,135,136,137,138,138,138,138,138,138,139,139,140,140,140,140,140,142,145,145,147,147,147,148,150,151,151,151,153,153,153,156,157,160,160,160,160,166
Santa Clara,37.23104908,-121.6970462,1927852,771,39.99,24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,6,6,8,8,8,10,16,17,19,20,25,25,28,30,32,36,36,39,39,39,43,46,46,47,50,51,60,60,65,69,73,73,73,83,83,94,95,98,99,100,103,106,107,111,113,114,115,117,121,126,127,128,128,129,129,130,130,134,134,135,135,135,137,138,138,138,139,139,139,139,140,140,140,141,141,141,143,144,144,144,144,144,145,146,146,148,150,150,151,151,151,151,152,152,152,152,154,154,154,155,155,155,155,156,156,158,159,160,160,161,164,165,165,166,166,166,166,167,180,173,176,177,177,177,178,178,180,181,183,184,184,184,184,187,190,191,191,191,191,192,192,196,196,203,204,205,207,207,207,208,208,209,209,209,216,217,222,224,224,224,233,237,240,245,245,245,244,248,250,253,254,257,260,260,260,263,263,276,280,283,283,287,293,295,295,296,296,297,299,300,304,306,311,312,314,318,322,325,330,333,344,345,347,353,354,357,357,357,362,363,363,367,373,373,373,378,382,382,385,388,388,388,388,392,402,404,406,406,406,409,412,421,424,430,430,430,433,436,440,440,444,444,444,445,447,453,459,463,463,463,464,467,470,476,476,476,476,476,482,486,495,503,503,503,511,512,515,519,526,526,526,526,529,561,566,583,583,583,607,615,632,643,643,652,652,652,673,673,709,747,747,747,747,771
Santa Cruz,37.05580291,-122.0066524,273213,83,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,12,12,12,12,12,12,14,18,19,20,20,20,20,20,23,23,23,23,23,23,24,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,28,28,28,28,28,28,28,28,29,33,37,40,40,40,44,47,47,50,53,53,53,55,60,64,64,70,70,70,73,73,76,76,76,76,76,83,83,83,83,83,83,83,83
Shasta,40.76391419,-122.0396884,180080,79,43.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,16,17,17,17,17,20,20,20,22,22,22,22,22,22,24,24,24,24,24,25,28,28,29,29,29,29,29,29,30,30,30,30,30,31,31,31,31,31,31,31,32,33,33,34,34,34,34,34,34,36,36,36,36,36,36,36,37,42,42,42,42,43,47,47,47,47,47,47,50,50,52,53,53,53,53,54,54,58,58,58,58,59,63,64,65,66,66,66,68,68,70,70,70,70,70,70,73,73,78,78,78,78,78,79
