Long Beach	63059	1000
Pasadena	13030	359	
Unincorporated - Covina	2676	15911	45	268
Unincorporated - Covina (Charter Oak)	1780	13542	21	160
Unincorporated - Del Aire	381	8673	3	68
Unincorporated - Del Rey	41	12893	1	314
Unincorporated - Del Sur	229	9482	3	124
Unincorporated - Desert View Highlands	406	16286	7	281
Unincorporated - Duarte	939	21206	11	248
Unincorporated - East Covina	44	13374	1	304
Unincorporated - East La Mirada	624	11791	8	151
Unincorporated - East Lancaster	19	16667	0	0
Unincorporated - East Los Angeles	27307	21799	451	360
Unincorporated - East Pasadena	238	3717	10	156
Unincorporated - East Rancho Dominguez	3084	20146	55	359
Unincorporated - East Whittier	566	10667	10	188
Unincorporated - El Camino Village	961	10932	15	171
Unincorporated - El Monte	24	16552	0	0
Unincorporated - Elizabeth Lake	100	6020	1	60
Unincorporated - Florence-Firestone	14922	23062	229	354
Unincorporated - Franklin Canyon	1	8333	0	0
Unincorporated - Glendora	83	12576	3	455
Unincorporated - Hacienda Heights	5948	10635	104	186
Unincorporated - Harbor Gateway	0	0	0	0
Unincorporated - Hawthorne	351	13962	3	119
Unincorporated - Hi Vista	53	4827	0	0
Unincorporated - Kagel/Lopez Canyons	306	21671	2	142
Unincorporated - La Crescenta-Montrose	1391	7025	17	86
Unincorporated - La Habra Heights	16	2367	1	148
Unincorporated - La Rambla	314	15133	21	1012
Unincorporated - La Verne*	195	9559	1	49
Unincorporated - Ladera Heights	549	7764	15	212
Unincorporated - Lake Hughes	51	7635	0	0
Unincorporated - Lake Los Angeles	1860	14314	19	146
Unincorporated - Lake Manor	174	10590	2	122
Unincorporated - Lakewood	0	0	0	0
Unincorporated - Lennox	3891	17261	54	240
Unincorporated - Leona Valley	145	8281	3	171
Unincorporated - Littlerock	617	15344	6	149
Unincorporated - Littlerock/Juniper Hills	142	10948	2	154
Unincorporated - Littlerock/Pearblossom	606	16980	11	308
Unincorporated - Llano	54	6157	2	228
Unincorporated - Marina del Rey	644	6843	4	43
Unincorporated - Miracle Mile	0	0	0	0
Unincorporated - Monrovia	435	11208	1	26
Unincorporated - Newhall	70	31818	1	455
Unincorporated - North Lancaster	184	15359	3	250
Unincorporated - North Whittier	1249	14940	29	347
Unincorporated - Northeast San Gabriel	1855	7718	42	175
Unincorporated - Padua Hills	12	5581	0	0
Unincorporated - Palmdale	124	14727	4	475
Unincorporated - Palos Verdes Peninsula	31	4992	0	0
Unincorporated - Pearblossom/Llano	169	8640	2	102
